"SYSTEM", "1", "SYSTEM", "System Start", " "
"main", "2", "SYSTEM", "Thread Start", " main (1)"
"main", "3", "SYSTEM", "Type Load", " class=java.lang.Object"
"main", "4", "SYSTEM", "Type Load", " class=se.hig.oodp.lab.control.test.FigureHandlerTest"
"main", "5", "se/hig/oodp/lab/control/test/FigureHandlerTest.java:20", "Method Call", " caller=SYSTEM, target=se.hig.oodp.lab.control.test.FigureHandlerTest#<clinit>:1"
"main", "6", "se/hig/oodp/lab/control/test/FigureHandlerTest.java:18", "Method Entered", " "
"main", "7", "se/hig/oodp/lab/control/test/FigureHandlerTest.java:20", "Line Step", " file=se/hig/oodp/lab/control/test/FigureHandlerTest.java, line=20"
"main", "8", "se/hig/oodp/lab/control/test/FigureHandlerTest.java:20", "New Object", " object=int[]:1"
"main", "9", "se/hig/oodp/lab/control/test/FigureHandlerTest.java:20", "Field Write", " context=int[]:1, 0=-2"
"main", "10", "se/hig/oodp/lab/control/test/FigureHandlerTest.java:20", "Field Write", " context=int[]:1, 1=-1"
"main", "11", "se/hig/oodp/lab/control/test/FigureHandlerTest.java:20", "Field Write", " context=int[]:1, 2=0"
"main", "12", "se/hig/oodp/lab/control/test/FigureHandlerTest.java:20", "Field Write", " context=int[]:1, 3=1"
"main", "13", "se/hig/oodp/lab/control/test/FigureHandlerTest.java:20", "Field Write", " context=int[]:1, 4=2"
"main", "14", "se/hig/oodp/lab/control/test/FigureHandlerTest.java:20", "Field Write", " context=se.hig.oodp.lab.control.test.FigureHandlerTest, XCOORDS=int[]:1"
"main", "15", "se/hig/oodp/lab/control/test/FigureHandlerTest.java:21", "Line Step", " file=se/hig/oodp/lab/control/test/FigureHandlerTest.java, line=21"
"main", "16", "se/hig/oodp/lab/control/test/FigureHandlerTest.java:21", "New Object", " object=int[]:2"
"main", "17", "se/hig/oodp/lab/control/test/FigureHandlerTest.java:21", "Field Write", " context=int[]:2, 0=2"
"main", "18", "se/hig/oodp/lab/control/test/FigureHandlerTest.java:21", "Field Write", " context=int[]:2, 1=1"
"main", "19", "se/hig/oodp/lab/control/test/FigureHandlerTest.java:21", "Field Write", " context=int[]:2, 2=0"
"main", "20", "se/hig/oodp/lab/control/test/FigureHandlerTest.java:21", "Field Write", " context=int[]:2, 3=-1"
"main", "21", "se/hig/oodp/lab/control/test/FigureHandlerTest.java:21", "Field Write", " context=int[]:2, 4=-2"
"main", "22", "se/hig/oodp/lab/control/test/FigureHandlerTest.java:21", "Field Write", " context=se.hig.oodp.lab.control.test.FigureHandlerTest, YCOORDS=int[]:2"
"main", "23", "se/hig/oodp/lab/control/test/FigureHandlerTest.java:22", "Line Step", " file=se/hig/oodp/lab/control/test/FigureHandlerTest.java, line=22"
"main", "24", "se/hig/oodp/lab/control/test/FigureHandlerTest.java:22", "Method Exit", " returner=se.hig.oodp.lab.control.test.FigureHandlerTest#<clinit>:1, value=<void>"
"main", "25", "se/hig/oodp/lab/control/test/FigureHandlerTest.java:20", "Method Returned", " "
"main", "26", "se/hig/oodp/lab/control/test/FigureHandlerTest.java:26", "Method Call", " caller=SYSTEM, target=se.hig.oodp.lab.control.test.FigureHandlerTest#main:1"
"main", "27", "se/hig/oodp/lab/control/test/FigureHandlerTest.java:24", "Method Entered", " "
"main", "28", "SYSTEM", "Type Load", " class=java.lang.String"
"main", "29", "se/hig/oodp/lab/control/test/FigureHandlerTest.java:24", "New Object", " object=java.lang.String[]:1"
"main", "30", "se/hig/oodp/lab/control/test/FigureHandlerTest.java:24", "Variable Write", " context=se.hig.oodp.lab.control.test.FigureHandlerTest#main:1, args=java.lang.String[]:1"
"main", "31", "se/hig/oodp/lab/control/test/FigureHandlerTest.java:26", "Line Step", " file=se/hig/oodp/lab/control/test/FigureHandlerTest.java, line=26"
"main", "32", "SYSTEM", "Type Load", " class=se.hig.oodp.lab.control.implementation.FigureHandlerImpl"
"main", "33", "se/hig/oodp/lab/control/test/FigureHandlerTest.java:26", "New Object", " object=se.hig.oodp.lab.control.implementation.FigureHandlerImpl:1"
"main", "34", "se/hig/oodp/lab/control/test/FigureHandlerTest.java:26", "Method Call", " caller=se.hig.oodp.lab.control.test.FigureHandlerTest#main:1, target=se.hig.oodp.lab.control.implementation.FigureHandlerImpl:1#se.hig.oodp.lab.control.implementation.FigureHandlerImpl:1"
"main", "35", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:42", "Method Entered", " "
"main", "36", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:42", "Line Step", " file=se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java, line=42"
"main", "37", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:44", "Line Step", " file=se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java, line=44"
"main", "38", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:44", "Field Write", " context=se.hig.oodp.lab.control.implementation.FigureHandlerImpl:1, allFigures=java.util.ArrayList (id=41)"
"main", "39", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:45", "Line Step", " file=se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java, line=45"
"main", "40", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:45", "Field Write", " context=se.hig.oodp.lab.control.implementation.FigureHandlerImpl:1, movableFigures=java.util.ArrayList (id=44)"
"main", "41", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:46", "Line Step", " file=se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java, line=46"
"main", "42", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:46", "Field Write", " context=se.hig.oodp.lab.control.implementation.FigureHandlerImpl:1, rotatableFigures=java.util.ArrayList (id=45)"
"main", "43", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:47", "Line Step", " file=se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java, line=47"
"main", "44", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:47", "Field Write", " context=se.hig.oodp.lab.control.implementation.FigureHandlerImpl:1, scalableFigures=java.util.ArrayList (id=46)"
"main", "45", "se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java:48", "Line Step", " file=se/hig/oodp/lab/control/implementation/FigureHandlerImpl.java, line=48"
